step,layer,ratio,lr,loss
11,blocks.1.ln1.weight,2.40651786e-04,6.60000000e-04,5.669858
11,blocks.1.ln1.bias,1.51640618e-01,6.60000000e-04,5.669858
11,blocks.1.attn.in_proj_weight,2.39742772e-03,6.60000000e-04,5.669858
11,blocks.1.attn.in_proj_bias,1.59842652e-01,6.60000000e-04,5.669858
11,blocks.1.attn.out_proj.weight,3.03324084e-03,6.60000000e-04,5.669858
11,blocks.1.attn.out_proj.bias,1.67914229e-01,6.60000000e-04,5.669858
11,blocks.1.ln2.weight,2.04457798e-04,6.60000000e-04,5.669858
11,blocks.1.ln2.bias,1.94845572e-01,6.60000000e-04,5.669858
11,blocks.1.mlp.0.weight,2.94634403e-03,6.60000000e-04,5.669858
11,blocks.1.mlp.0.bias,2.99908513e-03,6.60000000e-04,5.669858
11,blocks.1.mlp.2.weight,5.94823835e-03,6.60000000e-04,5.669858
11,blocks.1.mlp.2.bias,5.52625492e-03,6.60000000e-04,5.669858
11,ln_f.weight,5.74804496e-04,6.60000000e-04,5.669858
11,ln_f.bias,1.66136383e-01,6.60000000e-04,5.669858
11,lm_head.weight,3.01236514e-03,6.60000000e-04,5.669858
12,token_emb.weight,2.32304526e-04,7.20000000e-04,5.735443
12,pos_emb.weight,2.37112731e-04,7.20000000e-04,5.735443
12,blocks.0.ln1.weight,2.06704458e-04,7.20000000e-04,5.735443
12,blocks.0.ln1.bias,1.44672660e-01,7.20000000e-04,5.735443
12,blocks.0.attn.in_proj_weight,2.57391292e-03,7.20000000e-04,5.735443
12,blocks.0.attn.in_proj_bias,1.37966171e-01,7.20000000e-04,5.735443
12,blocks.0.attn.out_proj.weight,3.11816977e-03,7.20000000e-04,5.735443
12,blocks.0.attn.out_proj.bias,1.49561060e-01,7.20000000e-04,5.735443
12,blocks.0.ln2.weight,2.38474064e-04,7.20000000e-04,5.735443
12,blocks.0.ln2.bias,1.57040581e-01,7.20000000e-04,5.735443
12,blocks.0.mlp.0.weight,3.10654420e-03,7.20000000e-04,5.735443
12,blocks.0.mlp.0.bias,2.92354087e-03,7.20000000e-04,5.735443
12,blocks.0.mlp.2.weight,6.25080417e-03,7.20000000e-04,5.735443
12,blocks.0.mlp.2.bias,6.33431404e-03,7.20000000e-04,5.735443
12,blocks.1.ln1.weight,2.53530942e-04,7.20000000e-04,5.735443
12,blocks.1.ln1.bias,1.43944973e-01,7.20000000e-04,5.735443
12,blocks.1.attn.in_proj_weight,2.56735597e-03,7.20000000e-04,5.735443
12,blocks.1.attn.in_proj_bias,1.45498351e-01,7.20000000e-04,5.735443
12,blocks.1.attn.out_proj.weight,3.17476960e-03,7.20000000e-04,5.735443
12,blocks.1.attn.out_proj.bias,1.53841812e-01,7.20000000e-04,5.735443
12,blocks.1.ln2.weight,2.21559892e-04,7.20000000e-04,5.735443
12,blocks.1.ln2.bias,1.68273406e-01,7.20000000e-04,5.735443
12,blocks.1.mlp.0.weight,3.11934354e-03,7.20000000e-04,5.735443
12,blocks.1.mlp.0.bias,3.13714053e-03,7.20000000e-04,5.735443
12,blocks.1.mlp.2.weight,6.23376865e-03,7.20000000e-04,5.735443
12,blocks.1.mlp.2.bias,5.82660963e-03,7.20000000e-04,5.735443
12,ln_f.weight,6.37007828e-04,7.20000000e-04,5.735443
12,ln_f.bias,1.58688850e-01,7.20000000e-04,5.735443
12,lm_head.weight,3.17575499e-03,7.20000000e-04,5.735443
13,token_emb.weight,2.44424832e-04,7.80000000e-04,5.762244
13,pos_emb.weight,2.48721909e-04,7.80000000e-04,5.762244
13,blocks.0.ln1.weight,2.15804540e-04,7.80000000e-04,5.762244
13,blocks.0.ln1.bias,1.20953731e-01,7.80000000e-04,5.762244
13,blocks.0.attn.in_proj_weight,2.67846033e-03,7.80000000e-04,5.762244
13,blocks.0.attn.in_proj_bias,1.24028050e-01,7.80000000e-04,5.762244
13,blocks.0.attn.out_proj.weight,3.26358595e-03,7.80000000e-04,5.762244
13,blocks.0.attn.out_proj.bias,1.34411433e-01,7.80000000e-04,5.762244
13,blocks.0.ln2.weight,2.36616907e-04,7.80000000e-04,5.762244
13,blocks.0.ln2.bias,1.36088327e-01,7.80000000e-04,5.762244
